!!! (Chk Chk Chk)	Wednesday June 30, 2010 at 11:59 p.m.	Club Soda	!!! (Chk Chk Chk)
Air Condition	Thursday July 5, 1984 at 9 p.m.	Scène Maisonneuve	Air Condition
Air Condition	Friday July 6, 1984 at 6:30 p.m.	Rue St-Denis - Les Retrouvailles	
Air Condition	Saturday July 7, 1984 at 6:30 p.m.	Rue St-Denis - Les Retrouvailles	
Air Condition	Sunday July 8, 1984 at 6:30 p.m.	Rue St-Denis - Les Retrouvailles	
Air Mail Special	Friday July 3, 1987 at 4 p.m.	Scène Yogourt Liberté	Air Mail Special
Airfunk	Wednesday July 6, 1983 at 6:30 p.m.	Scène Émery	Airfunk
Airto Moreira	Monday July 1, 1985 at 11 p.m.	Théâtre St-Denis II	Flora Purim &amp; Airto and Group
Airto Moreira	Friday July 3, 1992 at 6 p.m.	Théâtre Maisonneuve	Margareth Menezes / Flora Purim avec Airto Moreira
Ajicaribe	Tuesday July 2, 1996 at 10 p.m.	Scène Labatt Bleue Dry	Samael &amp; Ajicaribe
Aka Moon	Thursday July 3, 1997 at 9 p.m.	Salle Beverley Webster Rolph - Musée d’art contemporain de Montréal	Aka Moon 
Aka Moon	Thursday June 28, 2001 at 9 p.m.	Musée d'Art Contemporain de Montréal - Beverley-Rolph-Webster	Aka Moon
Aki Takase	Friday June 30, 1995 at 8 p.m.	Salle Ludger-Duvernay	David Murray 
Akido	Sunday July 6, 2008 at 10 p.m.	Scène Bell	Akido
Akosh S. Unit	Saturday July 10, 1999 at 11 p.m.	Théâtre du Gesù 	Akosh S. Unit 
Akoya	Friday July 8, 2005 at 7:30 p.m.	Stella Artois Stage	Akoya Afrobeat Ensemble
Akufen	Friday July 8, 2005 at 11:59 p.m.	Club Soda	Four Tet &amp; Akufen
Al 4 As Saxophone Quartet	Wednesday July 3, 1996 at 12 p.m.	Place du Complexe Desjardins (int.)	Al 4 As Saxophone Quartet
Al 4 As Saxophone Quartet	Friday July 5, 1996 at 4 p.m.	Salle du Gésu	Christoph Sanger piano solo, Al 4 As Saxophone Quartet 
Al Blue Sharks de L’École Secondaire André-Laurendeau	Thursday July 3, 2008 at 3 p.m.	Scène General Motors	Al Blue Sharks de L’école Secondaire André-Laurendeau
Al Blues Angels	Friday June 29, 2007 at 12 p.m.	Scène General Motors	Al Blues Angels
Al Cohn	Friday June 27, 1986 at 7 p.m.	Théâtre St-Denis	Woody Herman and his Young Thundering Herd with Al Cohn
Al Di Meola	Saturday February 4, 2012 at 8 p.m.	Saint-Hyacinthe - Centre des arts Juliette-Lassonde (Salle Desjardins)	Al Di Meola duo with Peo Alfonsi
Al Di Meola	Sunday February 5, 2012 at 3:30 p.m.	Saint-Jean-sur-Richelieu - Théâtre des Deux-Rives	
Al Di Meola	Thursday February 9, 2012 at 8 p.m.	Valleyfield - Salle Albert-Dumouchel	
Al Di Meola	Friday February 10, 2012 at 8 p.m.	Shawinigan - Centre des arts de Shawinigan (Salle Philippe-Filion)	
Al Di Meola	Saturday February 11, 2012 at 8 p.m.	Montmagny - Salle Edwin-Bélanger	
Al Di Meola	Wednesday February 15, 2012 at 8 p.m.	Sherbrooke - Théâtre Granada	
Al Di Meola	Thursday February 16, 2012 at 8 p.m.	Gatineau - Maison de la culture de Gatineau (Salle Odyssée)	
Al Di Meola	Friday February 17, 2012 at 8 p.m.	Longueuil, Théâtre de la Ville (Salle Pratt &amp; Whitney Canada)	
Al Di Meola	Saturday February 18, 2012 at 8 p.m.	Québec - Grand Théâtre de Québec (Salle Octave-Crémazie)	
Al Di Meola	Tuesday February 21, 2012 at 7 p.m.	Victoriaville - Pavillon Arthabaska	
Al Di Meola	Wednesday February 22, 2012 at 8 p.m.	L'Assomption, Théâtre Hector-Charland	
Al Di Meola	Thursday February 23, 2012 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Al Di Meola	Friday February 24, 2012 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Al Di Meola	Saturday February 25, 2012 at 8 p.m.	Sainte-Thérèse - Théâtre Lionel-Groulx	
Al Di Meola	Sunday February 26, 2012 at 8 p.m.	Beloeil, Centre culturel de Beloeil	
Al Di Meola	Saturday July 2, 1988 at 6:30 p.m.	Théâtre St-Denis	Al Di Meola Project
Al Di Meola	Friday June 30, 1989 at 8:30 p.m.	Spectrum de Montréal	Al Di Meola / Larry Coryell / Biréli Lagrène "Super Guitar Trio"
Al Di Meola	Thursday July 5, 1990 at 9:30 p.m.	Salle Wilfrid-Pelletier, PdA	Al Di Meola World Sinfonia et The Chick Corea Elektric Band
Al Di Meola	Wednesday July 8, 1992 at 8:30 p.m.	Salle Wilfrid-Pelletier	Three sides of Al Di Meola solo acoustic ensemble world sinfonia, Electric Group Al Di Meloa Project
Al Di Meola	Saturday July 1, 1995 at 8:30 p.m.	Salle Wilfrid-Pelletier	Stanley Clarke, Al Di Meola, Jean-Luc Ponty 
Al Di Meola	Saturday July 1, 2000 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	Al Di Meola New World Symphonia 
Al Di Meola	Friday June 27, 2003 at 6 p.m.	Théâtre Maisonneuve - PdA	Al Di Meola "Flesh on Flesh"
Al Di Meola	Sunday July 4, 2004 at 6 p.m.	Théâtre Maisonneuve - PdA	Al Di Meola, Jean-Luc Ponty et Stanley Clarke "Rite of Strings"
Al Di Meola	Friday June 27, 2008 at 7 p.m.	Salle Wilfrid-Pelletier - PdA	Return To Forever with Chick Corea, Stanley Clarke, Al Di Meola and Lenny White
Al Di Meola	Wednesday July 1, 2009 at 9:30 p.m.	Théâtre Jean-Duceppe - PdA 	Al Di Meola <em>World Sinfonia 09</em>
Al Foster	Monday June 30, 1986 at 7 p.m.	Théâtre St-Denis	Herbie Hancock Quartet
Al Foster	Friday June 30, 1989 at 8:30 p.m.	UQAM / Salle Marie-Gérin-Lajoie	Charlie Haden avec Joe Henderson et Al Foster
Al Foster	Friday July 3, 1998 at 7 p.m.	Théâtre du Gesù 	Richard Galliano "New York Tango" avec George Mraz, Al Foster et Biréli Lagrène 
Al Foster	Friday July 2, 1999 at 6 p.m.	Spectrum de Montréal 	Richard Galliano "New York Tango en rappel" with Al Foster and George Mraz
Al Foster	Friday July 2, 1999 at 10:30 p.m.	Théâtre du Gesù 	John Nugent Quintet featuring Randy Brecker and Al Foster 
Al Foster	Monday July 5, 1999 at 7:30 p.m.	Monument national - Ludger Duvernay 	Joe Lovano with John Scofield, Dave Holland and Al Foster 
Al Green	Saturday June 28, 2008 at 7:30 p.m.	Salle Wilfrid-Pelletier - PdA	Al Green
Al Henderson 	Friday July 7, 1995 at 6 p.m.	Scène du Maurier Ltée 	Al Henderson Quartet 
Al Hirt	Saturday July 6, 1996 at 8:30 p.m.	Salle Wilfrid-Pelletier, PdA	Al Hirt et ses musiciens / Pete Fountain et ses musiciens
Al Jarreau	Monday July 3, 1995 at 9 p.m.	Salle Wilfrid-Pelletier	Al Jarreau 
Al Jarreau	Sunday July 2, 2000 at 8:30 p.m.	Salle Wilfrid-Pelletier - PdA	An evening with Al Jarreau
Al Jarreau	Thursday July 7, 2005 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Al Jarreau et Roberta Flack
Al Jarreau	Sunday July 5, 2009 at 7:30 p.m.	Salle Wilfrid-Pelletier - PdA 	A special evening featuring Al Jarreau and Molly Johnson
Al Rapone 	Sunday July 8, 1990 at 9:30 p.m.	Scène Labatt Blues	Al Rapone and His Zydeco Expressmen
Al Rapone 	Sunday July 8, 1990 at 11:59 p.m.	Spectrum de 'Montréal	
Alain Bédard	Friday July 7, 1989 at 12 p.m.	Maison Alcan	Tanguay - Dostaler - Bédard Trio
Alain Bédard	Friday June 27, 1997 at 6 p.m.	Scène du Maurier	Alain Bédard Quartet
Alain Bédard	Wednesday July 6, 2005 at 7 p.m.	Club Jazz TD Canada Trust Stage	Auguste Quintet
Alain Bédard	Wednesday July 6, 2005 at 10 p.m.	Club Jazz TD Canada Trust Stage	
Alain Bédard	Thursday July 5, 2007 at 6 p.m.	Gesù - Centre de créativité	Alain Bédard - Auguste Quintette
Alain Brunet	Thursday July 1, 1993 at 10:30 p.m.	Salle du Gesù	Jazz de France Alain Brunet Quartet 
Alain Caron	Saturday July 11, 1981 at 8 p.m.	Expo-Théâtre	Arthur Blythe
Alain Caron	Monday July 5, 1982 at 10:30 p.m.	Salle Marie-Guérin-Lajoie de l'UQAM	Uzeb
Alain Caron	Monday July 4, 1983 at 9:30 p.m.	Spectrum de Montréal	Uzeb
Alain Caron	Saturday June 29, 1985 at 7 p.m.	Théâtre St-Denis	UZEB
Alain Caron	Friday June 26, 1987 at 7 p.m.	Théâtre St-Denis	L'Orchestre National de Jazz de France, Uzeb and Didier Lockwood 
Alain Caron	Friday July 8, 1988 at 9 p.m.	Théâtre Port-Royal	Lorraine Desmarais / Alain Caron 
Alain Caron	Wednesday July 5, 1989 at 8:30 p.m.	Salle Wilfrid-Pelletier, PdA	Une soirée avec Uzeb 
Alain Caron	Friday July 5, 1991 at 4:30 p.m.	Église St-Jean l'Évangéliste 	Les Basses d'ici -  Michel Donato / Alain Caron 
Alain Caron	Tuesday July 7, 1992 at 9 p.m.	La scène de l'Événement Labatt Bleue	UZEB Paul Brochu, Alain Caron, Michel Cusson
Alain Caron	Thursday July 9, 1992 at 10:30 p.m.	Cinquième Salle PDA/MACM	Alain Caron / Michel Donato
Alain Caron	Sunday July 4, 1993 at 6 p.m.	Spectrum de Montréal	Mike Stern Trio with Alain Caron and Ben Perowsky
Alain Caron	Wednesday July 7, 1993 at 6 p.m.	Spectrum de Montréal	Alain Caron Le Band
Alain Caron	Thursday June 27, 1996 at 8 p.m.	Salle Ludger-Duvernay, Monument National	Michel Donato and Alain Caron
Alain Caron	Thursday June 27, 1996 at 8 p.m.	Salle Ludger-Duvernay, Monument National	Trio francais Alain Caron avec Didier Lockwood (violon) et Jean-Marie Ecay (guitare)
Alain Caron	Saturday June 29, 1996 at 8 p.m.	Salle Ludger-Duvernay, Monument National	Acoustic Concert - Alain Caron
Alain Caron	Sunday June 30, 1996 at 8 p.m.	Salle Ludger-Duvernay, Monument National	Alain Caron 
Alain Caron	Monday July 1, 1996 at 8 p.m.	Salle Ludger-Duvernay, Monument National	
Alain Caron	Friday July 5, 1996 at 8 p.m.	Salle Ludger-Duvernay, Monument National	Alain Caron- Le Band
Alain Caron	Thursday October 24, 1996 at 8 p.m.	Maison de la culture Frontenac	Michel Donato &amp; Alain Caron
Alain Caron	Wednesday July 8, 1998 at 11 p.m.	Théâtre du Nouveau Monde 	Alain Caron Le Band
Alain Caron	Wednesday July 7, 1999 at 6 p.m.	Spectrum de Montréal 	Gino Vannelli 
Alain Caron	Wednesday July 7, 1999 at 9 p.m.	Spectrum de Montréal 	
Alain Caron	Saturday July 1, 2000 at 6 p.m.	Théâtre Maisonneuve - PdA	Alain Caron "Call me Al" - Michel Cusson "Camino"
Alain Caron	Friday October 12, 2001 at 8 p.m.	Spectrum de Montréal	Mike Stern Quartet avec invité spécial à la basse : Alain Caron
Alain Caron	Wednesday July 2, 2003 at 6:40 p.m.	Théâtre Maisonneuve - PdA	Mike Stern Band feat. Alain Caron with Lionel Cordew and Bob Franceschini
Alain Caron	Thursday July 8, 2004 at 9:30 p.m.	Spectrum de Montréal	Alain Caron  "5"
Alain Caron	Sunday July 2, 2006 at 7:30 p.m.	Théâtre Jean-Duceppe - PdA	Bireli Lagrène invite Alain Caron and his Big Band 
Alain Caron	Sunday July 1, 2007 at 7:30 p.m.	Théâtre Jean-Duceppe - PdA	The Power of The Trio with Billy Cobham, Alain Caron, Mike Stern
Alain Caron	Saturday July 11, 2009 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	François Bourassa and Alain Caron
Alain Caron	Sunday June 27, 2010 at 8 p.m.	Théâtre Jean-Duceppe - PdA 	Mike Stern Band avec Alain Caron, Bob Franceschini and Lionel Cordew
Alain Caron	Wednesday June 29, 2011 at 6 p.m.	L'Astral  (Maison du Festival Rio Tinto Alcan)	Alain Caron
Alain Jean Marie	Sunday July 4, 1993 at 8 p.m.	Salle du Gesù	Barney Wilen featuring Alain Jean Marie 
Alain Jean Marie	Saturday July 6, 2002 at 10:30 p.m.	Monument National	François Théberge
Alain Lefèvre	Sunday July 12, 2009 at 7 p.m.	Théâtre Maisonneuve - PdA 	Montréal Variations
Alain Penfold	Friday July 7, 1989 at 6 p.m.	Bibliothèque nationale du Québec	Bernard Primeau Sextet
Alain Trudel	Sunday July 9, 1995 at 4 p.m.	Scène du Maurier Ltée 	Alain Trudel Quartet
Alain Vinet	Friday June 28, 2002 at 11:59 p.m.	Club Soda	Nils Petter Molvaer - Alain Vinet
Alalatine	Saturday June 27, 1987 at 6 p.m.	Scène Yogourt Liberté	Alalatine
Alan Broadbent	Friday July 1, 1988 at 11:30 p.m.	Spectrum	Charlie Haden Quartet
Alan Broadbent	Thursday June 29, 1995 at 6 p.m.	Théâtre Maisonneuve 	Charlie Haden Quartet West 
Alan Broadbent	Wednesday July 3, 1996 at 6 p.m.	Théâtre Maisonneuve, PdA	Charlie Haden Quartet West
Alan Broadbent	Friday July 9, 2004 at 6 p.m.	Monument National	Charlie Haden Quartet West
Alan Gerber	Monday July 3, 2000 at 7 p.m.	Labatt Blues Stage	Alan Gerber 
Alan Gerber	Monday July 3, 2000 at 11 p.m.	Labatt Blues Stage	
Alan Gerber	Tuesday July 6, 2004 at 12 p.m.	Place du Complexe Desjardins Stage	Alan Gerber
Alan Gerber	Saturday July 8, 2006 at 7 p.m.	Loto-Québec Stage	Alan Gerber
Alan Gerber	Saturday June 25, 2011 at 9 p.m.	Scène Loto-Québec	Jim Zeller &amp; Alan Gerber
Alan Gerber	Saturday June 25, 2011 at 11 p.m.	Scène Loto-Québec	
Albert Collins	Sunday July 3, 1983 at 9:30 p.m.	Spectrum de Montréal	Tito Puente - Albert Collins
Albert King	Saturday July 2, 1983 at 9:30 p.m.	Spectrum de Montréal	Albert King
Alberta Adams	Thursday June 30, 2005 at 12:30 a.m.	Spectrum de Montréal	Alberta Adams  with special Guest RJ's Rythm Rockers
Alberta Adams	Thursday June 30, 2005 at 9 p.m.	Blues Stella Artois Stage	
Albino!	Saturday July 5, 2008 at 8 p.m.	Scène du Festival	Albino!
Albino!	Saturday July 5, 2008 at 10 p.m.	Scène du Festival	
Albino!	Sunday July 6, 2008 at 8 p.m.	Scène du Festival	
Albino!	Sunday July 6, 2008 at 10 p.m.	Scène du Festival	
Aldo Romano	Saturday July 1, 1995 at 9 p.m.	Salle multimédia du Musée d'art contemporain	Henri Texier, Louis Sclavis et Aldo Romano
Aldo Romano	Tuesday July 4, 1995 at 2 p.m.	Café des artistes 	Workshop hosted by François Marcaurelle - Guest: Aldo Romano
Aldo Romano	Tuesday July 6, 2004 at 10:30 p.m.	Gésù - Centre de créativité	Aldo Romano, Danilo Rea et Remi Vignolo
Aldo Romano	Wednesday July 5, 2006 at 7:30 p.m.	Cinquième Salle - PdA	Aldo Romano avec Mark Turner et Rémi Vignolo
Aldo Romano	Thursday July 6, 2006 at 7:30 p.m.	Cinquième Salle - PdA	Aldo Romano "Because of Bechet"
Aldo Romano	Friday July 7, 2006 at 7:30 p.m.	Cinquième Salle - PdA	Aldo Romano avec Baptiste Trotignon et Rémi Vignolo
Aldo Romano (Romano, Sclavis, Texier)	Monday July 3, 2006 at 10 p.m.	Spectrum de Montréal	Romano, Sclavis, Texier - African Flashback
Alec Walkington	Thursday July 9, 1992 at 12 p.m.	Maison Alcan 	Duo Isabelle Wolfmann
Alec Walkington	Sunday July 12, 1992 at 4 p.m.	Scène Alcan	Koen Nys Quintet
Alec Walkington	Sunday July 12, 1992 at 6 p.m.	Scène Alcan	
Alec Walkington	Sunday July 11, 1993 at 7 p.m.	Amphithéâtre Ultramar	Pete Magadini Quintet
Alec Walkington	Saturday July 6, 1996 at 5 p.m.	Salle Ludger-Duvernay, Monument National	Jan Jarczyk Group
Alec Walkington	Thursday July 1, 1999 at 12 p.m.	Place du Complexe Desjardins 	Alec Walkington Group 
Alec Walkington	Friday June 27, 2003 at 8 p.m.	Scène Banque Nationale	Gossage Lozano Walkington
Alec Walkington	Friday June 27, 2003 at 10 p.m.	Scène Banque Nationale	
Alec Walkington	Friday July 8, 2005 at 6 p.m.	Salle du Gésù	Altsys Nonet
Alejandra De Venezuela et le Latin Jazz Band	Saturday June 30, 2007 at 3 p.m.	Scène General Motors	Alejandra De Venezuela et Le Latin Jazz Band
Alejandra Ribera	Monday June 27, 2011 at 8 p.m.	Scène Rio Tinto Alcan	Alejandra Ribera
Alejandra Ribera	Monday June 27, 2011 at 10 p.m.	Scène Rio Tinto Alcan	
Alejandro Escovedo	Sunday July 6, 2008 at 7 p.m.	Club Soda	Alejandro Escovedo
Alemão	Wednesday July 6, 1988 at 8:30 p.m.	Chapiteau Yogourt	Alemao 
Alemão	Wednesday July 6, 1988 at 10:30 p.m.	Chapiteau Yogourt	
Alemão	Thursday July 5, 1990 at 10:30 p.m.	Amphithéâtre Canadien International	Alemão
Alemão	Friday July 6, 1990 at 12 p.m.	Sur la Place du Complexe Desjardins (intérieur)	
Alex « Kazo » Soudin	Friday July 2, 1999 at 12 p.m.	Carrefour Génération le Lait	Dinah Vero World Quintet + 1 
Alex Bellegarde	Saturday July 2, 2005 at 8 p.m.	CBC Television Stage	Alex Bellegarde
Alex Bellegarde	Saturday July 2, 2005 at 10 p.m.	CBC Television Stage	
Alex Bellegarde	Saturday July 9, 2005 at 6 p.m.	General Motors Stage	Alex Bellegrade Quartette - Winner of the Prix de Jazz General Motors
Alex Bellegarde	Tuesday November 15, 2005 at 8 p.m.	Métropolis	Alex Bellegarde
Alex Bellegarde	Friday July 7, 2006 at 6 p.m.	General Motors Stage	Alex Bellegarde
Alex Bellegarde	Thursday June 26, 2008 at 8:30 p.m.	The Upstairs Jazz Bar &amp; Grill	Alex Bellegarde Latin Jazz Quintet
Alex Cattaneo	Thursday July 2, 1998 at 12 p.m.	Place du Complexe Desjardins 	Alex Cattaneo Group 
Alex Cattaneo	Friday June 29, 2001 at 12 p.m.	Complexe Desjardins	Alex Cattaneo "Fractal"
Alex Cattaneo	Sunday December 9, 2001 at 8 p.m.	Spectrum de Montréal	Molly Johnson Quartet
Alex Cattaneo	Sunday July 5, 2009 at 7 p.m.	Pavillon SIMM-GM	The League of Extraordinary Country Gentlemen
Alex Clements Quartet	Sunday July 12, 1998 at 6 p.m.	Scène du Maurier 	Alex Clements Quartet 
Alex Cuba 	Saturday July 2, 2005 at 6 p.m.	Spectrum de Montréal	Ron Sexsmith with special guest: Alex Cuba duo
Alex Cuba 	Saturday April 8, 2006 at 8:30 p.m.	Salle Wilfrid Pelletier - PdA	Alexis Puentes " Alex Cuba "
Alex Cuba 	Friday November 27, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Alex Cuba
Alex Cuba 	Saturday June 26, 2010 at 7 p.m.	Club Soda	Alex Cuba
Alex Goodman	Wednesday June 29, 2011 at 8 p.m.	Scène CBC/Radio-Canada	The Alex Goodman Quintet
Alex Pangman	Saturday July 4, 1998 at 4 p.m.	Scène du Maurier 	Tyler Yarema &amp; his Rhythm featuring Alex Pangman 
Alex Pangman	Thursday June 29, 2000 at 9 p.m.	Carrefour General Motors 	Alex Pangman 
Alex Pangman	Saturday June 29, 2002 at 8 p.m.	Banque Nationale Stage	Alex Pangman &amp; her Alleycats
Alex Pangman	Saturday June 29, 2002 at 10 p.m.	Banque Nationale Stage	
Alex Pangman	Friday July 1, 2011 at 8 p.m.	Scène Rio Tinto Alcan	Alex Pangman
Alex Pangman	Friday July 1, 2011 at 10 p.m.	Scène Rio Tinto Alcan	
Alex Robbins	Monday July 2, 2001 at 11:59 p.m.	Spectrum de Montréal	Alex Robbins
Alex Robbins	Tuesday July 3, 2001 at 10:30 p.m.	Spectrum de Montréal	
Alex Torres Y Los Reyes Latinos	Saturday June 29, 2002 at 7:30 p.m.	Bleue Légère Stage	Alex Torres y Los Reyes Latinos
Alex Wilson	Friday July 1, 2011 at 9 p.m.	Scène Loto-Québec	Alex Wilson
Alex Wilson	Friday July 1, 2011 at 11 p.m.	Scène Loto-Québec	
Alexandre Côté	Friday July 1, 2011 at 8 p.m.	Scène CBC/Radio-Canada	Alexandre Côté Quintet
Alexandre Côté	Monday July 4, 2011 at 6 p.m.	Scène TD de la place des Festivals 	Gagnant du Grand prix de Jazz TD - Alexandre Côté
Alexandre Grogg	Thursday July 3, 2003 at 8 p.m.	Scène Banque Nationale	Trio Jean Felix Mailloux
Alexandre Grogg	Thursday July 3, 2003 at 10 p.m.	Scène Banque Nationale	
Alexandre Grogg	Wednesday July 6, 2005 at 7 p.m.	Club Jazz TD Canada Trust Stage	Auguste Quintet
Alexandre Grogg	Wednesday July 6, 2005 at 10 p.m.	Club Jazz TD Canada Trust Stage	
Alexandre Grogg	Monday July 6, 2009 at 5 p.m.	Cinémathèque québécoise - Salle Claude-Jutra	Amor pedestre - Lady of the Night
Alexis Baro	Monday June 30, 2008 at 6 p.m.	Scène General Motors	Alexis Baro
Alfio Origlio	Sunday June 27, 2010 at 10:30 p.m.	Gesù, Centre de créativité	Daniel Mille with Alfio Origlio, Jérôme Regard, Julien Alour and Andy Barron
Algebra	Friday July 7, 2006 at 8:30 p.m.	Métropolis	The Roots
Ali Hassan Kuban	Sunday July 10, 1994 at 9 p.m.	Amphithéâtre Diet Pepsi	Ali Hassan Kuban 
Ali Hassan Kuban	Sunday July 10, 1994 at 11 p.m.	Amphithéâtre Diet Pepsi	
Ali Jackson	Saturday July 3, 2004 at 6 p.m.	Théâtre Maisonneuve - PdA	Kurt Rosenwinkel Quintet with Larry Grenadier, Ali Jackson, Brad Mehldau and Joshua Redman
Alice Russell	Friday June 27, 2008 at 11:59 p.m.	Club Soda	Alice Russell
Alice Russell	Thursday July 2, 2009 at 10 p.m.	Scène Bell 	Alice Russell with TM Juke
Alister Spence Trio	Monday July 3, 2006 at 6 p.m.	General Motors Stage	Alister Spence Trio
Alive!	Friday June 27, 1986 at 7 p.m.	Spectrum de Montréal	Alive!
All Night Long	Thursday July 5, 2007 at 6 p.m.	Cinémathèque québécoise - Salle Claude-Jutra	All Night Long
All Smiles	Saturday July 6, 1985 at 8 p.m.	Scène Émery	All Smiles
Allakomi	Tuesday July 6, 1999 at 7:30 p.m.	Scène Bleue Dry 	Allakomi 
Allan Broadbent	Friday July 2, 1993 at 6 p.m.	Théâtre Maisonneuve	Charlie Haden Quartet West 
Allan Holdsworth	Monday July 5, 1993 at 6 p.m.	Spectrum de Montréal	Allan Holdsworth Group
Allan Holdsworth	Monday July 2, 2007 at 10 p.m.	Spectrum de Montréal	Allan Holdsworth
Allan Holdsworth	Wednesday September 30, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	Allan Holdsworth Trio
Allan Holdsworth	Thursday October 1, 2009 at 8 p.m.	L'Astral (Maison du Festival Rio Tinto Alcan)	
Allan Wellman	Friday June 27, 1986 at 11:30 p.m.	Le Grand Café	Le St-Michel All Stars avec Allan Wellman et son ensemble
Allan Wellman	Saturday June 28, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Sunday June 29, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Monday June 30, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Tuesday July 1, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Wednesday July 2, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Thursday July 3, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Friday July 4, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Saturday July 5, 1986 at 11:30 p.m.	Le Grand Café	
Allan Wellman	Sunday July 6, 1986 at 11:30 p.m.	Le Grand Café	
Allen Toussaint	Monday July 3, 2006 at 8 p.m.	Salle Wilfrid Pelletier - PdA	Elvis Costello &amp; the Imposters featuring the piano and songs of Allen Toussaint
Allen Toussaint	Tuesday July 4, 2006 at 9:30 p.m.	General Motors Stage	Tribute to Paul Simon
Allen Toussaint	Sunday July 4, 2010 at 6 p.m.	Gesù, Centre de créativité	Allen Toussaint Solo
Allen Toussaint	Monday July 5, 2010 at 9:30 p.m.	Théâtre Jean-Duceppe - PdA 	Allen Toussaint, Bright Mississippi avec Nicholas Payton, Don Byron, Marc Ribot, David Piltch and Herman LeBeaux
Allen Toussaint	Tuesday July 6, 2010 at 7 p.m.	Departure of the Mardi Gras parade	Start of <em>La grande soirée Mardi Gras</em> Parade 
Allen Toussaint	Tuesday July 6, 2010 at 8:30 p.m.	Scène TD	La grande soirée <em>Mardi Gras</em>
Allen Youngblood	Friday July 7, 1989 at 8:30 p.m.	Spectrum de Montréal	Bud Shank et le Bob Shank Quartet
Alley Scatz	Sunday July 8, 1984 at 5:30 p.m.	Scène Emery	Alley Scatz
All-Stars Saxology	Sunday July 7, 1985 at 8:30 p.m.	Scène Maisonneuve	All-Stars Saxology
Aloès	Friday June 27, 1986 at 6 p.m.	Emery Stage	Aloes
Aloès	Saturday June 27, 1987 at 9:30 p.m.	Scène Jazz Bud	Aloès
Aloka Jazz Sextet	Thursday June 30, 2005 at 6 p.m.	General Motors Stage	Aloka Jazz Sextet
Alpha Blondy	Wednesday July 8, 2009 at 8:30 p.m.	Métropolis 	Alpha Blondy &amp; The Solar System / Oumou Sangare
Alpha Yaya Diallo	Friday July 2, 1999 at 7:30 p.m.	Scène Bleue Dry 	Alpha Yaya Diallo 
Alpha Yaya Diallo	Tuesday July 1, 2008 at 8 p.m.	Scène Bell	Alpha Yaya Diallo
Alphonso Johnson	Friday June 28, 1996 at 6 p.m.	Théâtre Maisonneuve, PdA	Wayne Shorter 
Alphonso Johnson	Saturday June 29, 1996 at 1 p.m.	Monument National	
Altsys	Sunday July 2, 1995 at 5 p.m.	Terrasse Nescafé	Altsys
Altsys	Sunday July 2, 1995 at 5 p.m.	Terrasse Nescafé	
Altsys Jazz Orchestra	Thursday July 2, 1987 at 8:30 p.m.	Scène du Complexe Desjardins	Altsys Jazz Orchestra of McGill University
Altsys Jazz Orchestra	Saturday July 6, 1991 at 3 p.m.	Scène du Complexe Desjardins	Altsys Orchestra
Altsys Jazz Orchestra	Saturday July 5, 1997 at 5 p.m.	Terrasse Nescafe	Altsys Jazz Orchestra 
